competency_id,competency_text,subject,grade_band,strand,teacher_email,active
8177-1,Demonstrate creativity and innovation.,Sports Entertainment and Event Management,9-12,Demonstrating Personal Qualities and Abilities,,TRUE
8177-2,Demonstrate critical thinking and problem  solving.,Sports Entertainment and Event Management,9-12,Demonstrating Personal Qualities and Abilities,,TRUE
8177-3,Demonstrate initiative and self-direction.,Sports Entertainment and Event Management,9-12,Demonstrating Personal Qualities and Abilities,,TRUE
8177-4,Demonstrate integrity.,Sports Entertainment and Event Management,9-12,Demonstrating Personal Qualities and Abilities,,TRUE
8177-5,Demonstrate work ethic.,Sports Entertainment and Event Management,9-12,Demonstrating Personal Qualities and Abilities,,TRUE
8177-6,Demonstrate conflict-resolution skills.,Sports Entertainment and Event Management,9-12,Demonstrating Interpersonal Skills,,TRUE
8177-7,Demonstrate listening and speaking skills.,Sports Entertainment and Event Management,9-12,Demonstrating Interpersonal Skills,,TRUE
8177-8,Demonstrate respect for diversity.,Sports Entertainment and Event Management,9-12,Demonstrating Interpersonal Skills,,TRUE
8177-9,Demonstrate customer service skills.,Sports Entertainment and Event Management,9-12,Demonstrating Interpersonal Skills,,TRUE
8177-10,Collaborate with team members.,Sports Entertainment and Event Management,9-12,Demonstrating Interpersonal Skills,,TRUE
8177-11,Demonstrate big-picture thinking.,Sports Entertainment and Event Management,9-12,Demonstrating Professional Competencies,,TRUE
8177-12,Demonstrate career- and life-management skills.,Sports Entertainment and Event Management,9-12,Demonstrating Professional Competencies,,TRUE
8177-13,Demonstrate continuous learning and adaptability.,Sports Entertainment and Event Management,9-12,Demonstrating Professional Competencies,,TRUE
8177-14,Manage time and resources.,Sports Entertainment and Event Management,9-12,Demonstrating Professional Competencies,,TRUE
8177-15,Demonstrate information-literacy skills.,Sports Entertainment and Event Management,9-12,Demonstrating Professional Competencies,,TRUE
8177-16,Demonstrate an understanding of information security.,Sports Entertainment and Event Management,9-12,Demonstrating Professional Competencies,,TRUE
8177-17,Maintain working knowledge of current information-technology (IT) systems.,Sports Entertainment and Event Management,9-12,Demonstrating Professional Competencies,,TRUE
8177-18,"Demonstrate proficiency with technologies, tools, and machines common to a specific occupation.",Sports Entertainment and Event Management,9-12,Demonstrating Professional Competencies,,TRUE
8177-19,Apply mathematical skills to job-specific tasks.,Sports Entertainment and Event Management,9-12,Demonstrating Professional Competencies,,TRUE
8177-20,Demonstrate professionalism.,Sports Entertainment and Event Management,9-12,Demonstrating Professional Competencies,,TRUE
8177-21,Demonstrate reading and writing skills.,Sports Entertainment and Event Management,9-12,Demonstrating Professional Competencies,,TRUE
8177-22,Demonstrate workplace safety.,Sports Entertainment and Event Management,9-12,Demonstrating Professional Competencies,,TRUE
8177-23,Examine aspects of planning within an industry/organization.,Sports Entertainment and Event Management,9-12,Examining All Aspects of an Industry,,TRUE
8177-24,Examine aspects of management within an industry/organization.,Sports Entertainment and Event Management,9-12,Examining All Aspects of an Industry,,TRUE
8177-25,Examine aspects of financial responsibility within an industry/organization.,Sports Entertainment and Event Management,9-12,Examining All Aspects of an Industry,,TRUE
8177-26,Examine technical and production skills required of workers within an industry/organization.,Sports Entertainment and Event Management,9-12,Examining All Aspects of an Industry,,TRUE
8177-27,Examine principles of technology that underlie an industry/organization.,Sports Entertainment and Event Management,9-12,Examining All Aspects of an Industry,,TRUE
8177-28,Examine labor issues related to an industry/organization.,Sports Entertainment and Event Management,9-12,Examining All Aspects of an Industry,,TRUE
8177-29,Examine community issues related to an industry/organization.,Sports Entertainment and Event Management,9-12,Examining All Aspects of an Industry,,TRUE
8177-30,"Examine health, safety, and environmental issues related to an industry/organization.",Sports Entertainment and Event Management,9-12,Examining All Aspects of an Industry,,TRUE
8177-31,Identify the purposes and goals of the student organization.,Sports Entertainment and Event Management,9-12,Addressing Elements of Student Life,,TRUE
8177-32,Explain the benefits and responsibilities of membership in the student organization as a student and in professional/civic organizations as an adult.,Sports Entertainment and Event Management,9-12,Addressing Elements of Student Life,,TRUE
8177-33,"Demonstrate leadership skills through participation in student organization activities, such as meetings, programs, and projects.",Sports Entertainment and Event Management,9-12,Addressing Elements of Student Life,,TRUE
8177-34,Identify Internet safety issues and procedures for complying with acceptable use standards.,Sports Entertainment and Event Management,9-12,Addressing Elements of Student Life,,TRUE
8177-35,Identify the types of work-based learning (WBL) opportunities.,Sports Entertainment and Event Management,9-12,Exploring Work-Based Learning,,TRUE
8177-36,Reflect on lessons learned during the WBL experience.,Sports Entertainment and Event Management,9-12,Exploring Work-Based Learning,,TRUE
8177-37,Explore career opportunities related to the WBL experience.,Sports Entertainment and Event Management,9-12,Exploring Work-Based Learning,,TRUE
8177-38,"Participate in a WBL experience, when appropriate.",Sports Entertainment and Event Management,9-12,Exploring Work-Based Learning,,TRUE
8177-39,"Define the role of the sports, entertainment, and event manager.",Sports Entertainment and Event Management,9-12,"Exploring Sports, Entertainment, and Event Management",,TRUE
8177-40,"Examine the traits and skills that successful sports, entertainment, and event managers possess.",Sports Entertainment and Event Management,9-12,"Exploring Sports, Entertainment, and Event Management",,TRUE
8177-41,"Identify functions sports, entertainment, and event managers must perform to have success with consumers, partners, and employees.",Sports Entertainment and Event Management,9-12,"Exploring Sports, Entertainment, and Event Management",,TRUE
8177-42,"Evaluate the sports, entertainment, and event manager’s role in decision-making for campaigns, employees, and partners.",Sports Entertainment and Event Management,9-12,"Exploring Sports, Entertainment, and Event Management",,TRUE
8177-43,"Evaluate career opportunities in sports, entertainment, and event management.",Sports Entertainment and Event Management,9-12,"Exploring Sports, Entertainment, and Event Management",,TRUE
8177-44,"Document the different roles in sports, entertainment, and event management using an organizational chart.",Sports Entertainment and Event Management,9-12,"Exploring Sports, Entertainment, and Event Management",,TRUE
8177-45,"Explain facilities management as it relates to the sports, entertainment, and event industries.",Sports Entertainment and Event Management,9-12,"Exploring Sports, Entertainment, and Event Management",,TRUE
8177-46,"Explain on-site revenue streams as they relate to sports, entertainment, and event facilities.",Sports Entertainment and Event Management,9-12,"Exploring Sports, Entertainment, and Event Management",,TRUE
8177-47,"Identify how e-commerce and digital transactions affect sports, entertainment, and event businesses.",Sports Entertainment and Event Management,9-12,"Exploring Sports, Entertainment, and Event Management",,TRUE
8177-48,"Analyze the effect of niche or emerging events in the sports, entertainment, and event industries.",Sports Entertainment and Event Management,9-12,"Exploring Sports, Entertainment, and Event Management",,TRUE
8177-49,"Analyze key U.S. economic indicators and their effects on the sports, entertainment, and event industries.",Sports Entertainment and Event Management,9-12,"Describing the Economics of the Sports, Entertainment, and Event Industries",,TRUE
8177-50,"Examine how sports, entertainment, and events affect local, state, and national economies.",Sports Entertainment and Event Management,9-12,"Describing the Economics of the Sports, Entertainment, and Event Industries",,TRUE
8177-51,"Identify cultural and political environmental factors and their economic impact on the global sports, entertainment, and event industries.",Sports Entertainment and Event Management,9-12,"Describing the Economics of the Sports, Entertainment, and Event Industries",,TRUE
8177-52,"Explore the organizational structures within the sports, entertainment, and event industries.",Sports Entertainment and Event Management,9-12,"Explaining the Structure of Sports, Entertainment, and Event Businesses",,TRUE
8177-53,Explain the advantages and disadvantages of operating as a for-profit or nonprofit organization.,Sports Entertainment and Event Management,9-12,"Explaining the Structure of Sports, Entertainment, and Event Businesses",,TRUE
8177-54,"Identify entrepreneurship opportunities related to sports, entertainment, and event management.",Sports Entertainment and Event Management,9-12,"Exploring Entrepreneurship in Sports, Entertainment, and Event Management",,TRUE
8177-55,Describe the entrepreneurial mindset.,Sports Entertainment and Event Management,9-12,"Exploring Entrepreneurship in Sports, Entertainment, and Event Management",,TRUE
8177-56,"Identify the steps involved in starting a new business, using the Business Model Canvas (BMC).",Sports Entertainment and Event Management,9-12,"Exploring Entrepreneurship in Sports, Entertainment, and Event Management",,TRUE
8177-57,"Describe how small businesses drive job creation, income generation, and economic growth.",Sports Entertainment and Event Management,9-12,"Exploring Entrepreneurship in Sports, Entertainment, and Event Management",,TRUE
8177-58,Demonstrate customer-service techniques.,Sports Entertainment and Event Management,9-12,Developing Customer Service Skills,,TRUE
8177-59,Describe methods used to encourage customer retention.,Sports Entertainment and Event Management,9-12,Developing Customer Service Skills,,TRUE
