lesson_unit_id,node,course,primary_competency_id,secondary_competency_ids,sol_overlap,source
Stage1-8175,Industry/Producer overview,8175,8175-44,"8177-39,8177-40,8177-41,8177-42,8177-43,8177-44,8177-45,8177-46,8177-47,8177-48,8175-1,8175-2,8175-3,8175-4,8175-5",YES — parallel unit,PARALLEL + SCAFFOLD
Stage1-8177,Industry/Producer overview,8177,8177-39,"8175-44,8175-45,8175-46,8175-47,8177-1,8177-2,8177-3,8177-4,8177-5",YES — parallel unit,PARALLEL + SCAFFOLD
Stage1-8175,Business structure,8175,8175-68,"8177-52,8177-53,8175-1,8175-2,8175-3,8175-4,8175-5",YES — parallel unit,PARALLEL + SCAFFOLD
Stage1-8177,Business structure,8177,8177-52,"8175-68,8175-69,8177-1,8177-2,8177-3,8177-4,8177-5",YES — parallel unit,PARALLEL + SCAFFOLD
Stage2-8175,Product/Branding,8175,8175-56,"8177-63,8177-64,8177-69,8177-70,8177-71,8177-72,8177-73,8177-74,8177-75,8177-76,8175-1,8175-2,8175-3,8175-4,8175-5",YES — parallel unit,PARALLEL + SCAFFOLD
Stage2-8177,Product/Branding,8177,8177-63,"8175-56,8175-57,8175-58,8175-59,8177-1,8177-2,8177-3,8177-4,8177-5",YES — parallel unit,PARALLEL + SCAFFOLD
Stage3-8175,Market economics,8175,8175-98,"8177-49,8177-50,8177-51,8175-1,8175-2,8175-3,8175-4,8175-5",YES — parallel unit,PARALLEL + SCAFFOLD
Stage3-8177,Market economics,8177,8177-49,"8175-98,8175-99,8175-100,8175-101,8177-1,8177-2,8177-3,8177-4,8177-5",YES — parallel unit,PARALLEL + SCAFFOLD
Stage5-8175,Rules/Legal/Ethics,8175,8175-51,"8177-63,8177-64,8177-65,8177-66,8175-1,8175-2,8175-3,8175-4,8175-5",YES — parallel unit,PARALLEL + SCAFFOLD
Stage5-8177,Rules/Legal/Ethics,8177,8177-63,"8175-51,8175-86,8177-1,8177-2,8177-3,8177-4,8177-5",YES — parallel unit,PARALLEL + SCAFFOLD
Stage5-8175,Customer service,8175,8175-52,"8177-58,8177-59,8177-60,8177-61,8177-62,8175-1,8175-2,8175-3,8175-4,8175-5",YES — parallel unit,PARALLEL + SCAFFOLD
Stage5-8177,Customer service,8177,8177-58,"8175-52,8175-53,8175-54,8175-55,8177-1,8177-2,8177-3,8177-4,8177-5",YES — parallel unit,PARALLEL + SCAFFOLD
Stage8-8175,Strategy/Synthesis,8175,8175-102,"8177-97,8175-1,8175-2,8175-3,8175-4,8175-5",YES — parallel unit,PARALLEL + SCAFFOLD
Stage8-8177,Strategy/Synthesis,8177,8177-97,"8175-102,8175-103,8175-104,8175-105,8177-1,8177-2,8177-3,8177-4,8177-5",YES — parallel unit,PARALLEL + SCAFFOLD
