mapping_type,stage,node,8177_task,source_8175_task,inherited_sols,justification
PARALLEL_TRANSITIVE,Stage1,Industry / Producer overview,8177-39,8175-44,"English: 10.RV, 10.RI, 10.LU, 10.C, 11.DSR, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage1,Industry / Producer overview,8177-39,8175-45,"English: 10.RV, 10.RI, 10.LU, 10.C, 11.DSR, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage1,Industry / Producer overview,8177-39,8175-46,"English: 10.RV, 10.RI, 10.LU, 10.C, 11.DSR, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage1,Industry / Producer overview,8177-39,8175-47,"English: 10.RV, 10.RI, 10.LU, 10.C, 11.DSR, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage1,Industry / Producer overview,8177-40,8175-44,"English: 10.RV, 10.RI, 10.LU, 10.C, 11.DSR, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage1,Industry / Producer overview,8177-40,8175-45,"English: 10.RV, 10.RI, 10.LU, 10.C, 11.DSR, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage1,Industry / Producer overview,8177-40,8175-46,"English: 10.RV, 10.RI, 10.LU, 10.C, 11.DSR, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage1,Industry / Producer overview,8177-40,8175-47,"English: 10.RV, 10.RI, 10.LU, 10.C, 11.DSR, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage1,Industry / Producer overview,8177-41,8175-44,"English: 10.RV, 10.RI, 10.LU, 10.C, 11.DSR, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage1,Industry / Producer overview,8177-41,8175-45,"English: 10.RV, 10.RI, 10.LU, 10.C, 11.DSR, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage1,Industry / Producer overview,8177-41,8175-46,"English: 10.RV, 10.RI, 10.LU, 10.C, 11.DSR, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage1,Industry / Producer overview,8177-41,8175-47,"English: 10.RV, 10.RI, 10.LU, 10.C, 11.DSR, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage1,Industry / Producer overview,8177-42,8175-44,"English: 10.RV, 10.RI, 10.LU, 10.C, 11.DSR, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage1,Industry / Producer overview,8177-42,8175-45,"English: 10.RV, 10.RI, 10.LU, 10.C, 11.DSR, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage1,Industry / Producer overview,8177-42,8175-46,"English: 10.RV, 10.RI, 10.LU, 10.C, 11.DSR, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage1,Industry / Producer overview,8177-42,8175-47,"English: 10.RV, 10.RI, 10.LU, 10.C, 11.DSR, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage1,Industry / Producer overview,8177-43,8175-44,"English: 10.RV, 10.RI, 10.LU, 10.C, 11.DSR, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage1,Industry / Producer overview,8177-43,8175-45,"English: 10.RV, 10.RI, 10.LU, 10.C, 11.DSR, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage1,Industry / Producer overview,8177-43,8175-46,"English: 10.RV, 10.RI, 10.LU, 10.C, 11.DSR, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
