8177_task,stage,node,source_8175_tasks,mapping_type,inherited_sols,justification
8177-39,Stage1,Industry / Producer overview,"8175-44, 8175-45, 8175-46, 8175-47",PARALLEL_TRANSITIVE,"English: 10.C, 10.LU, 10.RI, 10.RV, 11.C, 11.DSR, 11.LU, 11.RI, 11.RV, 12.C, 12.LU, 12.RI, 12.RV","Parallel unit — same concept, same lesson, both courses"
8177-40,Stage1,Industry / Producer overview,"8175-44, 8175-45, 8175-46, 8175-47",PARALLEL_TRANSITIVE,"English: 10.C, 10.LU, 10.RI, 10.RV, 11.C, 11.DSR, 11.LU, 11.RI, 11.RV, 12.C, 12.LU, 12.RI, 12.RV","Parallel unit — same concept, same lesson, both courses"
8177-41,Stage1,Industry / Producer overview,"8175-44, 8175-45, 8175-46, 8175-47",PARALLEL_TRANSITIVE,"English: 10.C, 10.LU, 10.RI, 10.RV, 11.C, 11.DSR, 11.LU, 11.RI, 11.RV, 12.C, 12.LU, 12.RI, 12.RV","Parallel unit — same concept, same lesson, both courses"
8177-42,Stage1,Industry / Producer overview,"8175-44, 8175-45, 8175-46, 8175-47",PARALLEL_TRANSITIVE,"English: 10.C, 10.LU, 10.RI, 10.RV, 11.C, 11.DSR, 11.LU, 11.RI, 11.RV, 12.C, 12.LU, 12.RI, 12.RV","Parallel unit — same concept, same lesson, both courses"
8177-43,Stage1,Industry / Producer overview,"8175-44, 8175-45, 8175-46, 8175-47",PARALLEL_TRANSITIVE,"English: 10.C, 10.LU, 10.RI, 10.RV, 11.C, 11.DSR, 11.LU, 11.RI, 11.RV, 12.C, 12.LU, 12.RI, 12.RV","Parallel unit — same concept, same lesson, both courses"
8177-44,Stage1,Industry / Producer overview,"8175-44, 8175-45, 8175-46, 8175-47",PARALLEL_TRANSITIVE,"English: 10.C, 10.LU, 10.RI, 10.RV, 11.C, 11.DSR, 11.LU, 11.RI, 11.RV, 12.C, 12.LU, 12.RI, 12.RV","Parallel unit — same concept, same lesson, both courses"
8177-45,Stage1,Industry / Producer overview,"8175-44, 8175-45, 8175-46, 8175-47",PARALLEL_TRANSITIVE,"English: 10.C, 10.LU, 10.RI, 10.RV, 11.C, 11.DSR, 11.LU, 11.RI, 11.RV, 12.C, 12.LU, 12.RI, 12.RV","Parallel unit — same concept, same lesson, both courses"
8177-46,Stage1,Industry / Producer overview,"8175-44, 8175-45, 8175-46, 8175-47",PARALLEL_TRANSITIVE,"English: 10.C, 10.LU, 10.RI, 10.RV, 11.C, 11.DSR, 11.LU, 11.RI, 11.RV, 12.C, 12.LU, 12.RI, 12.RV","Parallel unit — same concept, same lesson, both courses"
8177-47,Stage1,Industry / Producer overview,"8175-44, 8175-45, 8175-46, 8175-47",PARALLEL_TRANSITIVE,"English: 10.C, 10.LU, 10.RI, 10.RV, 11.C, 11.DSR, 11.LU, 11.RI, 11.RV, 12.C, 12.LU, 12.RI, 12.RV","Parallel unit — same concept, same lesson, both courses"
8177-48,Stage1,Industry / Producer overview,"8175-44, 8175-45, 8175-46, 8175-47",PARALLEL_TRANSITIVE,"English: 10.C, 10.LU, 10.RI, 10.RV, 11.C, 11.DSR, 11.LU, 11.RI, 11.RV, 12.C, 12.LU, 12.RI, 12.RV","Parallel unit — same concept, same lesson, both courses"
